brand,display,graphic,hdd,link,name,price,processor,ram
acer," 14"" HD Acer CineCrystal LED Display", Nvidia Geforce 130MX (2GB) ,1024,http://www.linnonlinestore.com/acer-aspire-e5-476g-8th-gen-i3-laptop/,acer aspire e5-476g (8th gen i3) laptop,"577,000 ",8th Generation Intel Core i3, 4
,,,,,,,,
acer,  15.6'' FHD LED Display , Nvidia Geforce MX 150 2GB Graphics,1024,http://www.linnonlinestore.com/acer-aspire-3a-a315-53-i3-laptop/,acer aspire 3a a315-53 (i3) laptop ,"620,000 ", 8th Generation Intel Core i3, 4
,,,,,,,,
acer,  14.6'' HD Display, Nvidia Geforce MX 130 2GB Graphics,1024,http://www.linnonlinestore.com/acer-aspire-a514-51g-i3-laptop/,acer aspire a514 -51g (i3) laptop ,"757,000 ", 8th Generation Intel Core i3,  4
,,,,,,,,
acer," 15.6"" HD Acer ComfyView LCD",  Nvidia Geforce Mx130 2GB VRAM ,1024,http://www.linnonlinestore.com/acer-aspire-e5-576g-i5-8th-laptop/,acer aspire e5-576g i5 8th laptop,"910,000 ", 8th Generation Intel Core i5,  4
,,,,,,,,
dell," 15.6'' Display,", 1TB HDD  AMD Radeon 520 (2GB) Graphics ,1024,http://www.linnonlinestore.com/dell-inspiron-15-3581-i3/?setCurrencyId=2,dell inspiron 15 3581 (i3),693875.0, 7th Generation Intel Core i3,  4
,,,,,,,,
dell," 15.6'' Display,", 1TB HDD  AMD Radeon 520 (2GB) Graphics ,1024,http://www.linnonlinestore.com/dell-inspiron-15-3581-i3/?setCurrencyId=1,dell inspiron 15 3581 (i3),"650,000 ", 7th Generation Intel Core i3,  4
,,,,,,,,
acer," 15.6"" HD Acer CineCrystal LCD Display", Nvidia Geforce  130MX 2GB,1000.0,http://www.linnonlinestore.com/acer-aspire-e5-576g-8th-gen-i3-laptop/?setCurrencyId=2,acer aspire e5-576g (8th gen i3) laptop,710955.0, 7th Generation Intel Core i3, 4
,,,,,,,,
acer," 14"" HD Acer CineCrystal LED Display", Nvidia Geforce 130MX (2GB) ,1024,http://www.linnonlinestore.com/acer-aspire-e5-476g-8th-gen-i3-laptop/?setCurrencyId=2,acer aspire e5-476g (8th gen i3) laptop,615947.5,8th Generation Intel Core i3, 4
,,,,,,,,
acer,  14.6'' HD Display, Nvidia Geforce MX 130 2GB Graphics,1024,http://www.linnonlinestore.com/acer-aspire-a514-51g-i3-laptop/?setCurrencyId=1,acer aspire a514 -51g (i3) laptop ,"757,000 ", 8th Generation Intel Core i3,  4
,,,,,,,,
acer,  15.6'' FHD LED Display , Nvidia Geforce MX 150 2GB Graphics,1024,http://www.linnonlinestore.com/acer-aspire-3a-a315-53-i3-laptop/?setCurrencyId=2,acer aspire 3a a315-53 (i3) laptop ,661850.0, 8th Generation Intel Core i3, 4
,,,,,,,,
acer,  14.6'' HD Display, Nvidia Geforce MX 130 2GB Graphics,1024,http://www.linnonlinestore.com/acer-aspire-a514-51g-i3-laptop/?setCurrencyId=2,acer aspire a514 -51g (i3) laptop ,808097.5, 8th Generation Intel Core i3,  4
,,,,,,,,
acer," 15.6"" HD Acer ComfyView LCD",  Nvidia Geforce Mx130 2GB VRAM ,1024,http://www.linnonlinestore.com/acer-aspire-e5-576g-i5-8th-laptop/?setCurrencyId=2,acer aspire e5-576g i5 8th laptop,971425.0, 8th Generation Intel Core i5,  4
,,,,,,,,
acer,  15.6'' FHD LED Display , Nvidia Geforce MX 150 2GB Graphics,1024,http://www.linnonlinestore.com/acer-aspire-3a-a315-53-i3-laptop/?setCurrencyId=1,acer aspire 3a a315-53 (i3) laptop ,"620,000 ", 8th Generation Intel Core i3, 4
,,,,,,,,
acer," 14"" HD Acer CineCrystal LED Display", Nvidia Geforce 130MX (2GB) ,1024,http://www.linnonlinestore.com/acer-aspire-e5-476g-8th-gen-i3-laptop/?setCurrencyId=1,acer aspire e5-476g (8th gen i3) laptop,"577,000 ",8th Generation Intel Core i3, 4
,,,,,,,,
acer," 15.6"" HD Acer ComfyView LCD",  Nvidia Geforce Mx130 2GB VRAM ,1024,http://www.linnonlinestore.com/acer-aspire-e5-576g-i5-8th-laptop/?setCurrencyId=1,acer aspire e5-576g i5 8th laptop,"910,000 ", 8th Generation Intel Core i5,  4
,,,,,,,,
acer," 15.6"" HD Acer CineCrystal LCD Display", Nvidia Geforce  130MX 2GB,1000.0,http://www.linnonlinestore.com/acer-aspire-e5-576g-8th-gen-i3-laptop/?setCurrencyId=1,acer aspire e5-576g (8th gen i3) laptop,"666,000 ", 7th Generation Intel Core i3, 4
,,,,,,,,
HP,14? FHD Anti-Glare LED UWVA 220 fWWAN fHDC Slim,Radeon� Vega 8 Graphics ( 8 Core Vega Graphics Engine ),256,http://royalsmartmm.com/hp-elitebook-745-g5-natural-silver/,HP ELITEBOOK 745 G5 ( NATURAL SILVER ),1260080,AMD Ryzen 5 Pro 2500U,4
,,,,,,,,
HP,14? HD AG LED SVA fHDC slim 2Ant,Radeon� Vega 8 Graphics ( 8 Core Vega Graphics Engine ),1024,http://royalsmartmm.com/hp-probook-445-g6-natural-silver/,HP PROBOOK 445 G6 ( NATURAL SILVER ),1091360,AMD Ryzen 5 2500U,8
,,,,,,,,
HP,14? Diagonal HD SVA WLED-backlit Multitouch-enabled edge-to-edge glass (1366 x 768),NVIDIA Geforce MX130 2GB,1024,http://royalsmartmm.com/hp-pavilion-x360-14-cd0049tx-sapphire-blue/,HP PAVILION X360 CONVERT 14-CD0049TX (SAPPHIRE BLUE),1320880,8th Generation Intel Core i5,8
,,,,,,,,
HP,14? Diagonal HD SVA WLED-backlit Multitouch-enabled edge-to-edge glass (1366 x 768),NVIDIA Geforce MX130 2GB,1024,http://royalsmartmm.com/hp-pavilion-x360-convert-14-cd0048tx-natural-silver/,HP PAVILION X360 CONVERT 14-CD0048TX (NATURAL SILVER),1320880,8th Generation Intel Core i5,8
,,,,,,,,
